label,pass_at_1,pass_at_5,pass_at_10,jit_compile_at_1,jit_compile_at_5,jit_compile_at_10,pass_minus_jit_compile_at_1,pass_minus_jit_compile_at_5,pass_minus_jit_compile_at_10,total_problems
frontier_gpt_chat_latest,0.5525974025974024,0.6708668315811173,0.7012987012987013,0.8662337662337668,0.9495464852607712,0.9545454545454546,-0.3136363636363644,-0.27867965367965397,-0.2532467532467533,154
frontier_sonnet5,0.3058441558441559,0.4358122036693465,0.487012987012987,0.47337662337662334,0.6365440115440116,0.6818181818181818,-0.16753246753246742,-0.20073180787466516,-0.19480519480519476,154
frontier_deepseek_v4_pro,0.08506493506493501,0.25610698824984546,0.35064935064935066,0.17727272727272733,0.5163626056483195,0.6753246753246753,-0.09220779220779232,-0.260255617398474,-0.3246753246753247,154
frontier_glm_5_2,0.14610389610389612,0.2526025561739847,0.2857142857142857,0.19545454545454552,0.36603277674706236,0.42857142857142855,-0.049350649350649395,-0.11343022057307767,-0.14285714285714285,154
binary_grpo,0.040909090909090895,0.12804061018346735,0.18181818181818182,0.11688311688311691,0.40334467120181405,0.5909090909090909,-0.07597402597402601,-0.2753040610183467,-0.4090909090909091,154
rs_sft_allarms,0.047402597402597405,0.12956091527520097,0.16883116883116883,0.1142857142857142,0.3755668934240363,0.551948051948052,-0.0668831168831168,-0.24600597814883535,-0.38311688311688313,154
binary_rs_sft_ref,0.03571428571428571,0.11209029066171924,0.15584415584415584,0.09025974025974014,0.3317357245928675,0.5064935064935064,-0.054545454545454425,-0.21964543393114824,-0.3506493506493506,154
clean_g3,0.026623376623376615,0.09959286745001032,0.15584415584415584,0.11493506493506493,0.42151102865388584,0.6298701298701299,-0.08831168831168831,-0.3219181612038755,-0.4740259740259741,154
style_repair_ultralite,0.024025974025974037,0.09178519892805609,0.14285714285714285,0.09025974025974016,0.34428468357039793,0.525974025974026,-0.06623376623376613,-0.25249948464234184,-0.38311688311688313,154
g3_p128r,0.02922077922077921,0.0878169449598021,0.13636363636363635,0.2240259740259742,0.6678262213976497,0.8571428571428571,-0.194805194805195,-0.5800092764378476,-0.7207792207792207,154
style1036_sft,0.032467532467532464,0.09722222222222222,0.13636363636363635,0.09415584415584405,0.33678622964337257,0.5064935064935064,-0.061688311688311584,-0.23956400742115036,-0.3701298701298701,154
cfg_only,0.02012987012987013,0.06707379921665636,0.11038961038961038,0.11233766233766225,0.4072356215213358,0.6038961038961039,-0.09220779220779213,-0.34016182230467945,-0.49350649350649356,154
simko_style_grpo,0.022077922077922075,0.07160894660894661,0.11038961038961038,0.1662337662337663,0.5546279117707685,0.7792207792207793,-0.1441558441558442,-0.4830189651618219,-0.6688311688311689,154
graph_text,0.022727272727272728,0.0690836940836941,0.09740259740259741,0.09999999999999991,0.36221913007627293,0.5584415584415584,-0.07727272727272719,-0.29313543599257885,-0.461038961038961,154
base_reference,0.015584415584415584,0.05627705627705629,0.09090909090909091,0.053896103896103865,0.2206503813646671,0.37012987012987014,-0.03831168831168828,-0.16437332508761082,-0.27922077922077926,154
null_graph,0.013636363636363637,0.04942279942279942,0.07792207792207792,0.051948051948051896,0.22005772005772012,0.38311688311688313,-0.038311688311688255,-0.1706349206349207,-0.30519480519480524,154
text_only,0.005194805194805194,0.025974025974025976,0.05194805194805195,0.04545454545454543,0.20183982683982687,0.34415584415584416,-0.04025974025974023,-0.1758658008658009,-0.2922077922077922,154
p128_without_rms,0.0,0.0,0.0,0.01038961038961039,0.050505050505050504,0.09740259740259741,-0.01038961038961039,-0.050505050505050504,-0.09740259740259741,154
