experiment,mode,original_compile_reported,selected_compile_reported,original_pass_replayed,selected_pass_replayed,selected_pass_reported,moved_rate,mean_score
x86_g3_binary_repair_ultralite,compile_cluster_vote,0.06493506493506493,0.4025974025974026,0.0,0.08441558441558442,,0.8701298701298701,48.396103896103895
x86_g3_binary_repair_ultralite,stats_compile_vote,0.0,0.032467532467532464,0.0,0.03896103896103896,,0.8831168831168831,14.87012987012987
x86_g3_binary_repair_ultralite,stats_pass_oracle,0.0,0.032467532467532464,0.0,0.11038961038961038,0.11038961038961038,0.9025974025974026,125.05194805194805
x86_g3_rs_sft_withB_ref_lite,compile_cluster_vote,0.05844155844155844,0.43506493506493504,0.012987012987012988,0.032467532467532464,,0.8766233766233766,48.077922077922075
x86_g3_rs_sft_withB_ref_lite,stats_compile_vote,0.0,0.025974025974025976,0.012987012987012988,0.025974025974025976,,0.8701298701298701,12.37012987012987
x86_g3_rs_sft_withB_ref_lite,stats_pass_oracle,0.0,0.025974025974025976,0.012987012987012988,0.05194805194805195,0.05194805194805195,0.8636363636363636,63.9025974025974
x86_g3_rs_sft_withB_ref_ultralite,compile_cluster_vote,0.09090909090909091,0.43506493506493504,0.012987012987012988,0.05844155844155844,,0.8441558441558441,49.0
x86_g3_rs_sft_withB_ref_ultralite,stats_compile_vote,0.0,0.025974025974025976,0.012987012987012988,0.05844155844155844,,0.8636363636363636,12.694805194805195
x86_g3_rs_sft_withB_ref_ultralite,stats_pass_oracle,0.0,0.025974025974025976,0.012987012987012988,0.07792207792207792,0.07792207792207792,0.8571428571428571,90.52597402597402
x86_g3_style_repair_ultralite,compile_cluster_vote,0.07792207792207792,0.34415584415584416,0.025974025974025976,0.08441558441558442,,0.8766233766233766,48.58441558441559
x86_g3_style_repair_ultralite,stats_compile_vote,0.0,0.025974025974025976,0.025974025974025976,0.06493506493506493,,0.8961038961038961,18.915584415584416
x86_g3_style_repair_ultralite,stats_pass_oracle,0.0,0.025974025974025976,0.025974025974025976,0.13636363636363635,0.13636363636363635,0.8961038961038961,154.72727272727272
