label,pass_at_1,pass_at_5,pass_at_10,compile_at_1_strict154,compile_at_5_strict154,compile_at_10_strict154,pass_minus_compile_at_1,pass_minus_compile_at_5,pass_minus_compile_at_10,total_problems
frontier_gpt_chat_latest,0.5525974025974024,0.6708668315811173,0.7012987012987013,0.46883116883116865,0.79978354978355,0.8701298701298701,0.08376623376623377,-0.12891671820243278,-0.16883116883116878,154
frontier_sonnet5,0.3058441558441559,0.4358122036693465,0.487012987012987,0.22922077922077924,0.45395279323850746,0.538961038961039,0.07662337662337668,-0.01814058956916098,-0.051948051948051965,154
frontier_deepseek_v4_pro,0.08506493506493501,0.25610698824984546,0.35064935064935066,0.07727272727272717,0.28133374561945995,0.42857142857142855,0.0077922077922078364,-0.025226757369614494,-0.07792207792207789,154
frontier_glm_5_2,0.14610389610389612,0.2526025561739847,0.2857142857142857,0.06688311688311685,0.1727994227994228,0.23376623376623376,0.07922077922077927,0.07980313337456188,0.05194805194805194,154
binary_grpo,0.040909090909090895,0.12804061018346735,0.18181818181818182,0.04220779220779218,0.17207792207792214,0.2792207792207792,-0.0012987012987012853,-0.044037311894454784,-0.09740259740259738,154
rs_sft_allarms,0.047402597402597405,0.12956091527520097,0.16883116883116883,0.03376623376623375,0.14303751803751807,0.23376623376623376,0.013636363636363655,-0.013476602762317103,-0.06493506493506493,154
binary_rs_sft_ref,0.03571428571428571,0.11209029066171924,0.15584415584415584,0.03376623376623375,0.14649041434755722,0.2597402597402597,0.0019480519480519626,-0.034400123685837974,-0.10389610389610388,154
clean_g3,0.026623376623376615,0.09959286745001032,0.15584415584415584,0.04090909090909089,0.1711760461760462,0.2792207792207792,-0.014285714285714273,-0.07158317872603588,-0.12337662337662336,154
style_repair_ultralite,0.024025974025974037,0.09178519892805609,0.14285714285714285,0.02792207792207792,0.1190733869305298,0.2012987012987013,-0.0038961038961038835,-0.027288188002473707,-0.05844155844155846,154
g3_p128r,0.02922077922077921,0.0878169449598021,0.13636363636363635,0.034415584415584406,0.1469800041228613,0.2532467532467532,-0.0051948051948051965,-0.059163059163059195,-0.11688311688311687,154
style1036_sft,0.032467532467532464,0.09722222222222222,0.13636363636363635,0.03506493506493504,0.15061327561327562,0.2597402597402597,-0.0025974025974025775,-0.05339105339105339,-0.12337662337662336,154
cfg_only,0.02012987012987013,0.06707379921665636,0.11038961038961038,0.026623376623376625,0.11690888476602762,0.2077922077922078,-0.006493506493506496,-0.04983508554937126,-0.09740259740259742,154
simko_style_grpo,0.022077922077922075,0.07160894660894661,0.11038961038961038,0.03636363636363634,0.15749330035044323,0.2727272727272727,-0.014285714285714266,-0.08588435374149662,-0.16233766233766234,154
graph_text,0.022727272727272728,0.0690836940836941,0.09740259740259741,0.022727272727272728,0.10353535353535355,0.18181818181818182,0.0,-0.034451659451659455,-0.08441558441558442,154
base_reference,0.015584415584415584,0.05627705627705629,0.09090909090909091,0.01493506493506494,0.06800144300144301,0.12337662337662338,0.0006493506493506444,-0.01172438672438672,-0.032467532467532464,154
null_graph,0.013636363636363637,0.04942279942279942,0.07792207792207792,0.01168831168831169,0.05699855699855701,0.11038961038961038,0.001948051948051947,-0.00757575757575759,-0.032467532467532464,154
text_only,0.005194805194805194,0.025974025974025976,0.05194805194805195,0.008441558441558441,0.03841991341991342,0.07142857142857142,-0.003246753246753247,-0.012445887445887448,-0.019480519480519473,154
p128_without_rms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154
