row_index,task_id,instructions,operands,blocks,control_edges,dataflow_edges,current_graph_chars,current_graph_cl100k_proxy_tokens,compact_positions_flat,compact_positions_pooled,flat_reduction_vs_proxy,pooled_reduction_vs_proxy
1727,sigless_0976288ffcc3,135,233,18,23,30,10044,3361,387,154,8.685,21.825
842,sigless_704208010f34,85,141,26,35,35,11032,3358,253,112,13.273,29.982
1692,sigless_c7fd8134d058,109,184,21,28,38,10534,3355,315,131,10.651,25.611
1156,sigless_79e66414f19b,104,174,23,32,25,10539,3348,302,128,11.086,26.156
621,sigless_7d60c9ef2f67,118,201,21,27,23,10068,3347,341,140,9.815,23.907
82,sigless_5e6e101afac5,106,174,21,27,29,10401,3344,302,128,11.073,26.125
612,sigless_7c18a676e23c,112,191,21,29,27,10195,3326,325,134,10.234,24.821
715,sigless_cc73707101e6,125,208,19,25,24,10106,3320,353,145,9.405,22.897
976,sigless_f72a68734ad0,106,177,22,29,29,10521,3317,306,129,10.84,25.713
1177,sigless_da17de4fe313,109,186,22,31,27,10417,3311,318,132,10.412,25.083
1462,sigless_4912d9758095,119,203,19,26,33,10118,3311,342,139,9.681,23.82
926,sigless_d705d736995d,105,178,22,31,27,10382,3306,306,128,10.804,25.828
40,sigless_7295efea90ce,164,299,10,10,15,8663,3283,474,175,6.926,18.76
886,sigless_4ffc0d48b2fc,148,261,14,18,17,9299,3278,424,163,7.731,20.11
1687,sigless_b7f39d4f4b7a,95,160,22,30,37,10461,3277,278,118,11.788,27.771
1602,sigless_2166e215da8f,118,203,18,25,26,9834,3275,340,137,9.632,23.905
1752,sigless_4c0426f323f0,121,204,20,26,26,10052,3272,346,142,9.457,23.042
904,sigless_af21df606631,112,191,20,27,30,10080,3270,324,133,10.093,24.586
163,sigless_ae7bb728b3b9,118,202,19,26,25,9962,3264,340,138,9.6,23.652
661,sigless_bd986d86cebb,135,232,17,20,19,9538,3252,385,153,8.447,21.255
677,sigless_e3b27b13f8ae,132,225,17,21,25,9546,3252,375,150,8.672,21.68
1331,sigless_aba88447920b,94,152,23,31,38,10563,3248,270,118,12.03,27.525
1670,sigless_377f0aa82b94,115,199,20,27,21,9857,3243,335,136,9.681,23.846
559,sigless_a014dde59f95,56,93,27,39,39,11141,3240,177,84,18.305,38.571
1265,sigless_d2214425fc35,115,199,19,25,21,9719,3237,334,135,9.692,23.978
1395,sigless_e8049778a1eb,71,113,25,37,44,11011,3227,210,97,15.367,33.268
1879,sigless_3b79442b6ed4,123,207,20,25,26,9942,3225,351,144,9.188,22.396
1757,sigless_fa4972c4e52e,119,201,19,25,23,9877,3224,340,139,9.482,23.194
985,sigless_d4aa83b9e134,89,143,25,32,25,10402,3221,258,115,12.484,28.009
431,sigless_41536e079793,161,293,10,10,14,8468,3220,465,172,6.925,18.721
1485,sigless_0a7b1fba4992,119,202,20,25,27,9822,3205,342,140,9.371,22.893
161,sigless_67ac3dcfca6c,125,213,16,21,22,9297,3204,355,142,9.025,22.563
1320,sigless_67751684f6fc,100,166,22,28,35,10285,3204,289,123,11.087,26.049
1724,sigless_54b6e3f94edf,106,182,20,27,34,10035,3199,309,127,10.353,25.189
1591,sigless_f12cc1905252,59,93,28,38,35,10989,3198,181,88,17.669,36.341
675,sigless_6ebc10a812a1,139,240,18,21,20,9453,3188,398,158,8.01,20.177
1062,sigless_2607923a35c2,63,90,25,35,48,10773,3177,179,89,17.749,35.697
1919,sigless_af11f474c9ef,123,211,18,22,28,9513,3177,353,142,9.0,22.373
2189,sigless_95a5f2ef9de4,153,265,16,17,17,9118,3172,435,170,7.292,18.659
2135,sigless_45bc2078bc2e,107,181,19,26,23,9593,3162,308,127,10.266,24.898
1394,sigless_560165a1604f,138,248,20,25,25,9712,3148,407,159,7.735,19.799
1746,sigless_5a999462cbea,108,183,21,30,25,9892,3142,313,130,10.038,24.169
500,sigless_31af3ee45617,95,159,21,30,24,9862,3140,276,117,11.377,26.838
1473,sigless_6f078e25625f,105,184,20,27,32,9832,3126,310,126,10.084,24.81
2136,sigless_c004cde4f585,124,216,17,23,17,9208,3125,358,142,8.729,22.007
1805,sigless_f2e0af62e1d4,94,155,20,27,37,9933,3121,270,115,11.559,27.139
1860,sigless_87b6c01e9e70,94,158,21,28,33,9876,3119,274,116,11.383,26.888
2094,sigless_843e7f29588f,88,149,21,28,42,10119,3119,259,110,12.042,28.355
1673,sigless_7eab3a26eb78,140,253,17,22,26,9222,3111,411,158,7.569,19.69
1398,sigless_b4e8a674757d,125,214,17,22,19,9261,3110,357,143,8.711,21.748
2098,sigless_e37ecae8c0ae,112,194,19,26,19,9431,3109,326,132,9.537,23.553
1441,sigless_6505cceddd08,110,187,20,27,19,9584,3108,318,131,9.774,23.725
1909,sigless_c59468d324c7,92,150,22,30,32,10035,3103,265,115,11.709,26.983
1106,sigless_823cb6ece12c,120,203,17,22,22,9241,3102,341,138,9.097,22.478
1848,sigless_391449f564cd,89,151,21,28,36,9842,3094,262,111,11.809,27.874
716,sigless_942a38e9b63b,96,161,22,31,21,9864,3089,280,119,11.032,25.958
1428,sigless_66397ac8d150,111,188,19,26,23,9480,3086,319,131,9.674,23.557
1235,sigless_84ed7e48c1f7,114,199,17,22,35,9333,3083,331,132,9.314,23.356
651,sigless_a71896d7f8e1,100,170,20,30,30,9749,3073,291,121,10.56,25.397
409,sigless_ae53329ac629,85,141,21,28,32,9712,3069,248,107,12.375,28.682
1590,sigless_3a418d57d78d,97,165,20,26,34,9595,3068,283,118,10.841,26.0
167,sigless_6b1dd0c6b6fc,118,201,16,20,25,9105,3065,336,135,9.122,22.704
504,sigless_73a943a35079,106,183,19,26,22,9374,3065,309,126,9.919,24.325
1089,sigless_be7c79632490,104,177,20,26,30,9587,3063,302,125,10.142,24.504
2154,sigless_8b41b904991e,101,173,19,26,29,9537,3062,294,121,10.415,25.306
1372,sigless_840e59b045db,105,176,21,26,25,9674,3058,303,127,10.092,24.079
932,sigless_eee05f5f93cc,106,175,20,26,24,9578,3054,302,127,10.113,24.047
2013,sigless_1f08c635f613,99,164,20,26,29,9521,3050,284,120,10.739,25.417
1905,sigless_f244d71cd7a9,96,163,20,26,34,9578,3040,280,117,10.857,25.983
92,sigless_d7ed83fb3f2f,107,177,18,22,24,9153,3039,303,126,10.03,24.119
1846,sigless_dbad8c29b1f5,111,189,17,22,29,9179,3037,318,129,9.55,23.543
1978,sigless_1ea945a6ddc4,122,206,17,21,22,9058,3028,346,140,8.751,21.629
866,sigless_f1f876558a71,111,189,18,23,18,9121,3027,319,130,9.489,23.285
1585,sigless_5924af15138d,93,155,20,27,28,9471,3021,269,114,11.23,26.5
1371,sigless_7fae72f58a8e,117,208,18,23,28,9201,3016,344,136,8.767,22.176
2152,sigless_6ff314f414dd,109,189,17,23,25,9067,3010,316,127,9.525,23.701
278,sigless_d2c82853f01f,108,179,18,23,22,9125,3004,306,127,9.817,23.654
1685,sigless_ac2a7abba9ff,101,173,18,24,30,9243,3001,293,120,10.242,25.008
2107,sigless_73e2116d3dc1,98,162,20,26,29,9472,2999,281,119,10.673,25.202
1003,sigless_809fa57b3e7c,108,187,17,24,21,8980,2990,313,126,9.553,23.73
997,sigless_a294df5644f7,104,173,18,25,23,9207,2983,296,123,10.078,24.252
1082,sigless_d5986815e8c6,97,165,20,28,24,9302,2981,283,118,10.534,25.263
654,sigless_20f7388811d3,108,183,17,23,26,9024,2973,309,126,9.621,23.595
693,sigless_82e505f25203,113,187,17,23,19,8955,2967,318,131,9.33,22.649
1219,sigless_8988dd9509f4,118,200,17,21,25,8939,2952,336,136,8.786,21.706
2092,sigless_245625de910f,106,176,18,23,19,8957,2951,301,125,9.804,23.608
629,sigless_0ead8979f480,95,158,18,25,31,9242,2949,272,114,10.842,25.868
854,sigless_719577f723ab,86,144,22,29,25,9476,2947,253,109,11.648,27.037
1563,sigless_51d6c4641da4,93,150,21,27,25,9368,2945,265,115,11.113,25.609
1729,sigless_567b3586f4af,95,160,21,29,18,9357,2940,277,117,10.614,25.128
1518,sigless_90f2f37d1d65,112,191,18,24,14,8738,2919,322,131,9.065,22.282
913,sigless_2e3e17ad3f24,103,177,16,21,31,8774,2916,297,120,9.818,24.3
1344,sigless_a98835a1b936,106,179,17,23,21,8814,2908,303,124,9.597,23.452
230,sigless_01b0e3e210ad,145,255,11,12,10,7877,2904,412,157,7.049,18.497
895,sigless_60730d2e850f,95,159,19,25,24,9115,2902,274,115,10.591,25.235
1471,sigless_5086cd138e58,92,154,19,24,28,9025,2901,266,112,10.906,25.902
321,sigless_de1794d048d0,110,186,16,20,19,8551,2894,313,127,9.246,22.787
925,sigless_7eb5bd3195f8,144,254,14,15,15,8110,2892,413,159,7.002,18.189
821,sigless_2b4ce9b63420,107,183,16,21,25,8586,2884,307,124,9.394,23.258
1226,sigless_82dd372e455e,81,129,23,30,33,9601,2875,234,105,12.286,27.381
25,sigless_e447695c1cef,134,240,11,12,12,7781,2874,386,146,7.446,19.685
907,sigless_c130f159f65f,88,150,20,26,30,9205,2870,259,109,11.081,26.33
1048,sigless_715c9df98739,76,122,23,30,30,9475,2863,222,100,12.896,28.63
103,sigless_d5000f24b202,78,127,21,28,24,9181,2861,227,100,12.604,28.61
1309,sigless_9e51b855c9d0,90,147,19,25,27,8944,2859,257,110,11.125,25.991
2068,sigless_e42efcdddab1,84,135,19,25,36,9130,2857,239,104,11.954,27.471
615,sigless_be23d6dcc6c3,100,169,17,23,20,8635,2850,287,118,9.93,24.153
1405,sigless_91d0a51c71d9,93,155,19,25,27,9024,2850,268,113,10.634,25.221
714,sigless_6f18fdb8a164,62,88,22,31,41,9605,2843,173,85,16.434,33.447
1856,sigless_0ae882aa2b4c,107,178,16,20,29,8592,2842,302,124,9.411,22.919
210,sigless_1a0508342c42,105,173,17,21,18,8554,2840,296,123,9.595,23.089
3,sigless_bb3e3056d991,90,152,20,26,23,8989,2838,263,111,10.791,25.568
1997,sigless_698b437f73b6,107,183,17,22,25,8679,2836,308,125,9.208,22.688
2115,sigless_187885ac214a,82,131,19,25,36,9095,2836,233,102,12.172,27.804
755,sigless_60604c62022a,70,109,23,29,39,9625,2826,203,94,13.921,30.064
1638,sigless_43bc373e09d3,112,190,15,20,19,8397,2826,318,128,8.887,22.078
1429,sigless_e7d6c13e60b0,91,152,18,23,28,8773,2815,262,110,10.744,25.591
713,sigless_42482b64ab02,99,170,17,22,25,8545,2812,287,117,9.798,24.034
1720,sigless_615fca46817a,105,184,16,20,25,8457,2811,306,122,9.186,23.041
1583,sigless_10696653625e,80,127,19,25,39,9098,2807,227,100,12.366,28.07
0,sigless_6c7cc82cf730,138,250,9,9,13,7426,2799,398,148,7.033,18.912
114,sigless_a6fe8cb6d2c0,91,152,19,25,23,8750,2797,263,111,10.635,25.198
44,sigless_7389c6e2e4bf,140,251,9,9,11,7307,2791,401,150,6.96,18.607
1092,sigless_7604d0a9be1d,64,98,23,30,34,9394,2780,186,88,14.946,31.591
1464,sigless_8dd800616af7,96,160,18,23,24,8648,2776,275,115,10.095,24.139
1871,sigless_675a0a1c1519,103,175,17,22,18,8416,2774,296,121,9.372,22.926
700,sigless_9765a555bb1e,94,159,17,22,32,8644,2773,271,112,10.232,24.759
1671,sigless_873cde3e6d60,88,147,18,24,28,8685,2769,254,107,10.902,25.879
1870,sigless_0eee92445bd1,93,157,19,26,18,8701,2768,270,113,10.252,24.496
1491,sigless_5f66f666ffaa,93,158,18,25,21,8602,2767,270,112,10.248,24.705
2086,sigless_f47c97a89b2f,98,166,16,21,26,8483,2755,281,115,9.804,23.957
407,sigless_22d6d12f78e2,109,183,15,19,18,8088,2751,308,125,8.932,22.008
1442,sigless_aa321dd75130,101,170,17,22,22,8480,2748,289,119,9.509,23.092
496,sigless_ffb1f44c25e8,77,125,19,26,32,8992,2746,222,97,12.369,28.309
989,sigless_627bb8b51393,89,150,18,24,22,8469,2743,258,108,10.632,25.398
2073,sigless_1f311da5c92c,100,166,17,22,18,8270,2738,284,118,9.641,23.203
50,sigless_74c42101e1c3,112,187,14,17,18,7929,2730,314,127,8.694,21.496
70,sigless_2cd253f9ba89,102,170,15,19,17,7992,2725,288,118,9.462,23.093
319,sigless_955e5b90afcd,100,170,15,20,22,8095,2719,286,116,9.507,23.44
1862,sigless_ce3f8ea4ae4e,86,141,19,24,24,8540,2717,247,106,11.0,25.632
551,sigless_5dd1ec529b86,71,112,19,25,40,8891,2715,203,91,13.374,29.835
1480,sigless_7db68d441a47,90,151,19,26,15,8492,2711,261,110,10.387,24.645
1291,sigless_ff7d3950d0dc,66,110,25,33,17,9248,2709,202,92,13.411,29.446
796,sigless_d7925c929036,103,175,15,20,19,8105,2705,294,119,9.201,22.731
698,sigless_1c0640f2fccf,120,205,15,18,20,8044,2704,341,136,7.93,19.882
728,sigless_447c406429af,88,147,17,23,25,8359,2702,253,106,10.68,25.491
1477,sigless_62eb2126a979,105,177,15,20,17,8068,2701,298,121,9.064,22.322
740,sigless_aef84f0db8b2,75,122,19,26,31,8702,2698,217,95,12.433,28.4
1604,sigless_f9b618f8a81a,96,161,17,22,21,8251,2698,275,114,9.811,23.667
2179,sigless_42e7550180db,105,184,16,22,19,8167,2695,306,122,8.807,22.09
1189,sigless_adbd069b25c0,98,165,16,20,28,8180,2689,280,115,9.604,23.383
1007,sigless_42ba3da172af,95,160,18,23,19,8326,2685,274,114,9.799,23.553
2202,sigless_ac434de369f5,109,190,14,18,16,7794,2677,314,124,8.525,21.589
1431,sigless_d801178ee7a1,108,189,17,21,18,8045,2660,315,126,8.444,21.111
199,sigless_ef7508354484,104,177,14,18,16,7802,2654,296,119,8.966,22.303
1933,sigless_07eb50411e6e,87,147,18,24,27,8404,2643,253,106,10.447,24.934
272,sigless_789cd2f3035d,76,125,17,24,28,8267,2642,219,94,12.064,28.106
1229,sigless_81812351194a,128,229,11,13,14,7316,2638,369,140,7.149,18.843
1855,sigless_dfe8156844d2,102,170,15,19,18,7854,2618,288,118,9.09,22.186
548,sigless_67dc6a67e2fa,67,111,22,29,21,8736,2614,201,90,13.005,29.044
597,sigless_64e5a22a0036,53,80,22,29,34,8944,2614,156,76,16.756,34.395
5,sigless_2dec5f792073,94,157,15,20,19,7879,2613,267,110,9.787,23.755
1781,sigless_c084b2fa1b52,92,158,17,21,26,8150,2613,268,110,9.75,23.755
1502,sigless_0717cd3b92be,87,149,16,21,31,8144,2610,253,104,10.316,25.096
510,sigless_a903fac60558,47,74,23,32,24,8913,2607,145,71,17.979,36.718
1890,sigless_6b1b536baaf8,88,151,16,21,22,7998,2607,256,105,10.184,24.829
1928,sigless_c3def4af1815,97,166,15,19,21,7826,2604,279,113,9.333,23.044
324,sigless_8eb7e2c7ce95,114,189,15,16,6,7584,2602,319,130,8.157,20.015
1810,sigless_b0c2906381c3,112,191,14,16,20,7702,2602,318,127,8.182,20.488
1807,sigless_2bc786e67fb1,113,195,12,14,20,7485,2598,321,126,8.093,20.619
498,sigless_689d8a0758c5,77,124,17,23,27,8207,2596,219,95,11.854,27.326
964,sigless_d17d194e8870,88,148,17,23,21,8087,2592,254,106,10.205,24.453
1399,sigless_18bdcaaabdda,84,142,16,21,32,8136,2592,243,101,10.667,25.663
124,sigless_bb8e98c7d955,75,123,17,24,28,8227,2589,216,93,11.986,27.839
881,sigless_03ab8b1c66a2,94,158,16,21,18,7962,2589,269,111,9.625,23.324
564,sigless_84637280f224,64,96,22,27,24,8677,2587,183,87,14.137,29.736
1077,sigless_cc6ed6d6afd0,94,161,15,21,19,7736,2573,271,110,9.494,23.391
709,sigless_fa5d6466520d,91,152,16,21,19,7788,2552,260,108,9.815,23.63
1356,sigless_fd68c63c1041,116,195,14,16,18,7585,2552,326,131,7.828,19.481
1423,sigless_37940dd84528,71,117,18,24,25,8132,2543,207,90,12.285,28.256
624,sigless_e469f0b29c0a,87,144,16,21,18,7796,2530,248,104,10.202,24.327
1123,sigless_ce877ce68b19,102,171,15,18,21,7679,2530,289,118,8.754,21.441
1750,sigless_6951140d323d,112,191,15,17,12,7432,2517,319,128,7.89,19.664
158,sigless_d43e9fee84d1,116,204,10,11,13,6791,2507,331,127,7.574,19.74
1060,sigless_27d7320a3bdf,80,136,16,21,30,7892,2505,233,97,10.751,25.825
472,sigless_a507056ae077,84,134,15,20,19,7544,2502,234,100,10.692,25.02
455,sigless_ba202ac63e22,101,170,13,16,16,7325,2501,285,115,8.775,21.748
499,sigless_82d69dc9d747,113,195,13,15,18,7334,2495,322,127,7.748,19.646
1715,sigless_437dad78f0eb,89,148,17,22,15,7740,2494,255,107,9.78,23.308
176,sigless_819608fd1a27,114,189,14,15,4,7254,2493,318,129,7.84,19.326
467,sigless_a5284c87e9de,84,135,17,24,15,7757,2492,237,102,10.515,24.431
1506,sigless_ca058cccbe26,95,158,14,19,17,7512,2491,268,110,9.295,22.645
483,sigless_86f93f55ffea,98,166,14,20,9,7422,2490,279,113,8.925,22.035
1850,sigless_37d4d507d12a,95,162,15,19,20,7565,2487,273,111,9.11,22.405
834,sigless_d99739d41cf9,93,157,14,20,21,7530,2482,265,108,9.366,22.981
681,sigless_6628371048eb,90,145,17,20,16,7626,2474,253,108,9.779,22.907
1642,sigless_5d3386c76ca6,78,130,17,22,22,7677,2464,226,96,10.903,25.667
558,sigless_729a446cf77a,64,93,21,25,30,8311,2463,179,86,13.76,28.64
1375,sigless_8d4f4548285a,79,134,15,20,28,7572,2450,229,95,10.699,25.789
911,sigless_dae7a76f7a63,93,161,13,17,18,7141,2432,268,107,9.075,22.729
1821,sigless_04af5f4c43f4,84,143,14,18,23,7296,2431,242,99,10.045,24.556
1755,sigless_2ed0aae31f64,55,90,19,27,30,8172,2430,165,75,14.727,32.4
890,sigless_eb084c16b48f,79,134,15,20,28,7580,2428,229,95,10.603,25.558
34,sigless_85d0b475b417,85,147,16,21,26,7619,2427,249,102,9.747,23.794
1739,sigless_0843e42271d3,78,130,17,22,22,7683,2425,226,96,10.73,25.26
575,sigless_5209bbd9d038,71,110,18,22,27,7861,2402,200,90,12.01,26.689
1708,sigless_cbfc347da3a8,82,129,16,20,21,7501,2397,228,99,10.513,24.212
1872,sigless_4f3ed7b17a1f,94,161,13,16,19,7005,2389,269,108,8.881,22.12
47,sigless_c87d2c98aa3b,119,213,8,8,11,6395,2384,341,128,6.991,18.625
1640,sigless_fe5faa93760d,76,126,16,21,24,7531,2380,219,93,10.868,25.591
384,sigless_7fffee6c6306,103,170,11,14,9,6550,2371,285,115,8.319,20.617
437,sigless_92b0f94ad966,105,179,12,15,18,6870,2365,297,118,7.963,20.042
2091,sigless_48b20185823d,83,138,14,19,14,7152,2362,236,98,10.008,24.102
32,sigless_8026645cd525,67,99,16,22,32,7583,2338,183,84,12.776,27.833
1520,sigless_2582ec95189e,84,139,15,19,19,7207,2338,239,100,9.782,23.38
622,sigless_c5879974d295,101,178,11,13,13,6532,2337,291,113,8.031,20.681
563,sigless_d4a66305fe7c,68,110,18,24,22,7633,2326,197,87,11.807,26.736
984,sigless_d1f52bab434e,97,167,13,16,18,6911,2326,278,111,8.367,20.955
587,sigless_50d5a11c3d28,69,112,16,21,25,7442,2325,198,86,11.742,27.035
1208,sigless_423c455e1e6f,111,190,12,13,13,6691,2325,314,124,7.404,18.75
1414,sigless_e67ff395edc1,79,131,15,19,17,7170,2304,226,95,10.195,24.253
721,sigless_91a8855c0141,83,140,15,19,18,7106,2302,239,99,9.632,23.253
905,sigless_2851e23293fa,111,190,12,13,11,6569,2291,314,124,7.296,18.476
501,sigless_9e128db660ea,66,104,16,21,17,7204,2289,187,83,12.241,27.578
1675,sigless_0807a304e05c,89,153,12,16,18,6711,2280,255,102,8.941,22.353
1382,sigless_d3fdcbc75653,97,163,11,14,12,6508,2268,272,109,8.338,20.807
2160,sigless_c468c7824b3d,76,125,15,19,19,6984,2267,217,92,10.447,24.641
20,sigless_e2a7dcd25afe,113,202,8,8,10,6046,2259,324,122,6.972,18.516
652,sigless_46cbbaa7642e,109,187,12,13,11,6504,2258,309,122,7.307,18.508
1174,sigless_8eec066b7e74,65,99,19,23,18,7496,2254,184,85,12.25,26.518
954,sigless_af5db0a8c81c,66,114,16,21,28,7254,2242,197,83,11.381,27.012
224,sigless_473dda549ded,114,195,8,8,8,6071,2241,318,123,7.047,18.22
543,sigless_7b31da914133,71,111,17,20,20,7190,2238,200,89,11.19,25.146
187,sigless_5d987da12971,71,114,14,19,19,6913,2230,200,86,11.15,25.93
80,sigless_6fe01b777085,74,125,14,19,16,6798,2224,214,89,10.393,24.989
179,sigless_694e9c7e42ca,111,194,8,8,10,5999,2224,314,120,7.083,18.533
920,sigless_55cc112cbb2c,93,160,12,15,11,6436,2221,266,106,8.35,20.953
1412,sigless_60e7aed4983d,59,95,18,23,24,7323,2220,173,78,12.832,28.462
1053,sigless_f224aa66d49f,96,162,12,14,14,6503,2215,271,109,8.173,20.321
1839,sigless_5927884fefb4,74,126,16,20,22,7040,2214,217,91,10.203,24.33
743,sigless_08d9788809ed,85,139,15,19,11,6874,2212,240,101,9.217,21.901
150,sigless_16c74ad715b1,120,207,8,8,11,6010,2194,336,129,6.53,17.008
104,sigless_e79001cf6c91,74,125,14,19,16,6732,2183,214,89,10.201,24.528
810,sigless_466484c17a69,52,75,18,23,28,7361,2179,146,71,14.925,30.69
2190,sigless_ef1a9ba935f8,62,104,16,21,27,7088,2176,183,79,11.891,27.544
1736,sigless_97cea9527095,79,132,13,16,21,6587,2164,225,93,9.618,23.269
209,sigless_adbd100a08c3,97,163,10,12,14,6158,2154,271,108,7.948,19.944
787,sigless_502e5bfa8d5a,59,97,17,22,21,7044,2153,174,77,12.374,27.961
2009,sigless_af664e695666,82,137,14,18,19,6701,2147,234,97,9.175,22.134
535,sigless_cc540498f018,53,80,18,23,23,7106,2139,152,72,14.072,29.708
1542,sigless_148f77d7380c,81,138,12,15,16,6344,2117,232,94,9.125,22.521
2103,sigless_470f8bc43ad0,92,156,12,14,12,6218,2115,261,105,8.103,20.143
512,sigless_15ad71198701,61,102,16,20,23,6847,2101,180,78,11.672,26.936
1799,sigless_32d2c7ca9362,47,73,17,23,24,6974,2099,138,65,15.21,32.292
515,sigless_7d2e8ed321e8,46,70,18,23,25,7149,2091,135,65,15.489,32.169
746,sigless_05d7276e35f8,68,112,14,18,20,6521,2088,195,83,10.708,25.157
945,sigless_8a331f448580,62,99,15,20,20,6694,2087,177,78,11.791,26.756
471,sigless_95105e48c1e8,66,103,14,18,15,6368,2072,184,81,11.261,25.58
593,sigless_ed552125f186,59,97,15,20,17,6500,2031,172,75,11.808,27.08
270,sigless_553bab51bfc9,97,168,8,9,12,5644,2026,274,106,7.394,19.113
567,sigless_f69a19cc404b,65,101,17,20,21,6791,2021,184,83,10.984,24.349
1034,sigless_198562fcc704,61,97,15,19,17,6462,2019,174,77,11.603,26.221
208,sigless_67bb88ce699e,95,162,9,10,13,5717,2017,267,105,7.554,19.21
599,sigless_c564529d390a,65,104,14,17,17,6351,2012,184,80,10.935,25.15
1084,sigless_df98c7bdfbfa,58,99,15,20,19,6416,2005,173,74,11.59,27.095
460,sigless_3ff551d952ab,92,156,10,11,8,5655,1993,259,103,7.695,19.35
456,sigless_3015682ee30d,67,112,13,18,13,6116,1990,193,81,10.311,24.568
562,sigless_367c856e7b09,53,87,15,21,24,6554,1975,156,69,12.66,28.623
214,sigless_54142b1c1dfc,87,154,9,11,9,5559,1974,251,97,7.865,20.351
502,sigless_2516066a8a33,47,67,15,22,27,6688,1973,130,63,15.177,31.317
26,sigless_46a3dd2dee97,106,182,7,7,9,5276,1968,296,114,6.649,17.263
513,sigless_07c3783f819e,58,93,14,19,17,6223,1951,166,73,11.753,26.726
1532,sigless_1fa125aae2e1,62,104,15,19,18,6315,1944,182,78,10.681,24.923
937,sigless_b65bfd4e1c09,64,105,13,17,14,5942,1927,183,78,10.53,24.705
1179,sigless_a8b709e424be,86,149,10,12,8,5524,1927,246,97,7.833,19.866
476,sigless_023bd7678351,58,91,13,17,18,5959,1922,163,72,11.791,26.694
509,sigless_ecdba1f20916,59,100,15,19,15,6183,1921,175,75,10.977,25.613
552,sigless_81915896d27e,70,117,11,14,23,5841,1906,199,82,9.578,23.244
1791,sigless_2a8674ba4eac,70,117,11,14,23,5834,1899,199,82,9.543,23.159
497,sigless_3d2fb5109b32,53,84,13,18,22,6145,1896,151,67,12.556,28.299
868,sigless_0507b4b78962,48,77,15,20,16,6144,1875,141,64,13.298,29.297
79,sigless_5356bf3248b8,88,148,9,10,9,5334,1872,246,98,7.61,19.102
516,sigless_89225991a53f,67,111,11,14,18,5730,1869,190,79,9.837,23.658
656,sigless_0edf1a833bcf,46,72,14,19,21,6070,1869,133,61,14.053,30.639
2054,sigless_3cc825c92fbb,83,139,9,10,13,5367,1863,232,93,8.03,20.032
448,sigless_e19a86f10606,82,145,10,13,7,5359,1861,238,93,7.819,20.011
310,sigless_97decd4f7443,78,128,9,11,12,5355,1859,216,88,8.606,21.125
1601,sigless_9e473d8d4c63,65,108,12,16,13,5699,1859,186,78,9.995,23.833
143,sigless_971ecf15eeb7,89,143,8,9,8,5018,1857,241,98,7.705,18.949
475,sigless_f3f39bc2c4e1,57,92,13,17,16,5829,1857,163,71,11.393,26.155
839,sigless_7412fc8a275b,72,119,12,14,8,5579,1848,204,85,9.059,21.741
571,sigless_037a83cfa693,65,104,13,16,14,5828,1841,183,79,10.06,23.304
520,sigless_a85966f77adb,42,63,15,20,21,6160,1837,121,58,15.182,31.672
1239,sigless_6732ad0e03c2,95,164,8,8,8,5063,1834,268,104,6.843,17.635
90,sigless_bb79fb181ca4,66,107,11,14,13,5474,1819,185,78,9.832,23.321
1295,sigless_af41f65d49ad,66,106,12,14,14,5662,1815,185,79,9.811,22.975
305,sigless_16750f2b50db,58,93,12,15,15,5614,1813,164,71,11.055,25.535
1936,sigless_9f2a939d0dac,45,72,16,21,10,5995,1802,134,62,13.448,29.065
477,sigless_3b0bbd2b96f7,59,94,13,17,14,5722,1799,167,73,10.772,24.644
1916,sigless_f900a5a8bbcb,71,120,9,11,15,5206,1774,201,81,8.826,21.901
570,sigless_6b1fb00348be,67,110,11,14,12,5427,1771,189,79,9.37,22.418
583,sigless_fd2fb70f256a,41,61,14,19,23,5943,1767,117,56,15.103,31.554
297,sigless_e0c5a7b6ec4b,79,139,9,12,7,4976,1748,228,89,7.667,19.64
228,sigless_fb3e17ee0c3a,76,129,8,10,9,4961,1725,214,85,8.061,20.294
1731,sigless_cb7f0dda4063,74,124,9,11,7,4953,1723,208,84,8.284,20.512
1980,sigless_e09dec811256,69,114,10,12,11,5090,1717,194,80,8.851,21.462
195,sigless_6604a0a3d6ed,55,86,11,14,13,5153,1697,153,67,11.092,25.328
526,sigless_6b314672515e,68,114,9,11,13,4975,1696,192,78,8.833,21.744
115,sigless_1b51da6470dc,88,154,6,6,7,4543,1676,249,95,6.731,17.642
1175,sigless_9fac3f3ee538,69,117,9,12,6,4869,1674,196,79,8.541,21.19
28,sigless_866297fd3761,64,105,10,13,6,4963,1665,180,75,9.25,22.2
541,sigless_8bafc62c65e4,37,56,13,17,24,5564,1664,107,51,15.551,32.627
193,sigless_1e9d4fb93ebc,64,104,10,12,7,4901,1652,179,75,9.229,22.027
946,sigless_f2e9ae140c31,67,107,10,12,10,4939,1638,185,78,8.854,21.0
1759,sigless_b5205e4b767f,31,44,14,18,19,5455,1629,90,46,18.1,35.413
205,sigless_05ea627bbfb5,86,147,6,6,7,4446,1627,240,93,6.779,17.495
524,sigless_94b1edd9b15b,56,90,11,13,15,5029,1611,158,68,10.196,23.691
469,sigless_34f95ce2a1a8,52,81,11,14,10,4894,1599,145,64,11.028,24.984
1380,sigless_1b37298418df,49,82,12,15,13,5063,1597,144,62,11.09,25.758
