row_index,task_id,instructions,operands,blocks,control_edges,dataflow_edges,current_graph_chars,current_graph_cl100k_proxy_tokens,compact_positions_flat,compact_positions_pooled,flat_reduction_vs_proxy,pooled_reduction_vs_proxy
1714,sigless_95a8117f8451,155,267,22,27,14,10775,3609,445,178,8.11,20.275
1294,sigless_0b0199b6cf36,140,241,21,27,28,10950,3606,403,162,8.948,22.259
1548,sigless_bf0a356ed0ee,120,193,25,34,31,11478,3604,339,146,10.631,24.685
1669,sigless_785b38ff1492,151,264,19,24,24,10565,3601,435,171,8.278,21.058
2048,sigless_76ef24c85011,107,183,24,34,34,11404,3599,315,132,11.425,27.265
1888,sigless_16bcaf41b72c,105,181,24,34,43,11556,3597,311,130,11.566,27.669
1333,sigless_17ec8d961625,103,175,24,32,30,11365,3592,303,128,11.855,28.062
1744,sigless_264498dbbd46,127,220,22,29,31,11028,3590,370,150,9.703,23.933
794,sigless_8650d8564ac7,111,191,24,33,45,11565,3589,327,136,10.976,26.39
1790,sigless_2fecde6c9029,96,162,26,36,37,11568,3585,285,123,12.579,29.146
773,sigless_4ff8bd844523,117,196,24,32,32,11341,3584,338,142,10.604,25.239
1022,sigless_78f759d71cd8,111,191,23,31,40,11291,3578,326,135,10.975,26.504
125,sigless_192b20a07f88,87,142,25,34,46,11688,3575,255,113,14.02,31.637
561,sigless_2562eb1b2c02,62,100,30,44,42,12332,3566,193,93,18.477,38.344
1896,sigless_5576eacf8857,123,209,21,28,31,10747,3564,354,145,10.068,24.579
323,sigless_8f6e8257a22f,179,296,17,15,6,9846,3558,493,197,7.217,18.061
1722,sigless_842d8bd3822e,124,214,22,29,31,10946,3554,361,147,9.845,24.177
1869,sigless_2b17ddcf6c38,119,205,25,33,31,11321,3553,350,145,10.151,24.503
330,sigless_c2ea7131482c,116,197,22,31,27,10985,3551,336,139,10.568,25.547
1921,sigless_3136af6273f5,123,215,21,29,27,10738,3533,360,145,9.814,24.366
1263,sigless_9f39fb843bf3,146,251,18,26,18,10324,3531,416,165,8.488,21.4
791,sigless_cb5a96661187,130,218,21,28,28,10832,3530,370,152,9.541,23.224
1247,sigless_ae3f6b074a1d,134,229,20,26,26,10593,3529,384,155,9.19,22.768
1942,sigless_0aacd006f897,122,211,21,28,30,10720,3520,355,144,9.915,24.444
1859,sigless_e45852ef8453,86,140,27,37,40,11636,3518,254,114,13.85,30.86
859,sigless_13439b7dbb3a,132,228,20,25,35,10697,3517,381,153,9.231,22.987
1023,sigless_d047d7c5417a,117,200,23,32,28,11001,3511,341,141,10.296,24.901
734,sigless_170ea73047ad,111,188,23,31,37,11042,3504,323,135,10.848,25.956
2027,sigless_c1a31fa4592f,122,210,20,27,32,10632,3503,353,143,9.924,24.497
991,sigless_1c2de2da855e,71,101,28,39,53,12025,3502,201,100,17.423,35.02
1242,sigless_5709313db58d,123,210,21,27,27,10621,3501,355,145,9.862,24.145
1154,sigless_00fca81586fc,109,168,29,36,34,11652,3499,307,139,11.397,25.173
1342,sigless_4523c169c47b,71,101,28,39,53,12025,3498,201,100,17.403,34.98
1509,sigless_a437d3358d7f,129,219,20,27,24,10520,3494,369,150,9.469,23.293
532,sigless_515d8cc9bdf6,71,101,28,39,53,12025,3484,201,100,17.333,34.84
658,sigless_c6efd0c3a123,108,177,24,32,32,11011,3484,310,133,11.239,26.195
