problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass
115,dart,769,0.20479,0,0,0.7233,0,0
116,dart,512,0.47779,0,0,0.73334,1,0
117,dart,875,0.63379,1,0,0.5074,0,0
118,dart,626,0.47652,0,0,0.54469,0,0
119,dart,672,0.62621,0,0,0.53883,0,0
120,dart,986,0.59696,0,0,0.71244,1,0
121,dart,484,0.60917,0,0,0.36853,0,0
122,dart,854,0.73133,0,0,0.67463,0,0
123,dart,633,0.65436,0,0,0.61578,0,0
124,dart,1190,0.6217,0,0,0.71207,0,0
126,dart,805,0.68266,0,0,0.7072,1,0
127,dart,740,0.5,0,0,0.5919,0,0
128,dart,585,0.74914,0,0,0.5561,0,0
129,dart,2674,0.78535,0,0,0.55732,0,0
130,dart,424,0.47481,0,0,0.38584,0,0
131,dart,551,0.50161,0,0,0.57916,0,0
132,dart,807,0.65294,0,0,0.63568,0,0
133,dart,443,0.56943,0,0,0.50575,0,0
134,dart,804,0.62517,0,0,0.62175,0,0
135,dart,483,0.54016,0,0,0.59098,0,0
136,dart,826,0.59765,0,0,0.43644,0,0
138,dart,420,0.47358,0,0,0.54615,1,0
139,dart,504,0.57857,0,0,0.50584,0,0
140,dart,890,0.54773,0,0,0.75,1,0
141,dart,929,0.44387,0,0,0.56184,0,0
142,dart,603,0.62198,0,0,0.5762,0,0
143,dart,1191,0.63094,1,0,0.67231,0,0
144,dart,855,0.66133,0,0,0.78886,1,0
145,dart,1199,0.63249,1,0,0.61574,0,0
146,dart,751,0.71227,1,0,0.65083,0,0
147,dart,716,0.68523,0,0,0.69985,1,0
149,dart,951,0.60432,0,0,0.56383,0,0
150,dart,495,0.62678,0,0,0.64983,0,0
151,dart,605,0.57242,0,0,0.54787,0,0
152,dart,537,0.56124,0,0,0.44944,0,0
153,dart,989,0.55335,0,0,0.67716,0,0
154,dart,608,0.68943,1,0,0.7152,0,0
155,dart,530,0.51915,0,0,0.56755,0,0
156,dart,1144,0.56656,0,0,0.60698,0,0
157,dart,519,0.56108,0,0,0.57634,0,0
158,dart,537,0.70579,0,0,0.58744,0,0
159,dart,404,0.67626,1,0,0.48032,0,0
160,dart,1962,0.62546,0,0,0.5653,1,0
161,dart,723,0.63371,0,0,0.27901,0,0
163,dart,628,0.65401,0,0,0.67692,0,0
