experiment,codebleu,compiled_only_codebleu,compiled_rows,compile_at_1,compile_at_5,pass_at_1,pass_at_5,pass_at_10
x86_g3_style_repair_ultralite,0.5299109182333337,0.5506489893082875,26,0.04444444444444446,0.1984126984126984,0.024025974025974037,0.09178519892805609,0.14285714285714285
x86_g3_binary_repair_ultralite,0.5341550702546543,0.5277115654045769,20,0.03809523809523811,0.16666666666666666,0.02402597402597403,0.08250876108018967,0.11038961038961038
x86_g3_rs_sft_withB_ref_ultralite,0.5173355293465973,0.5569934307659729,28,0.050793650793650814,0.2222222222222222,0.013636363636363634,0.05029890744176459,0.07792207792207792
x86_g3_rs_sft_withB_ref_lite,0.5170481885601791,0.5342226294268386,37,0.0650793650793651,0.30158730158730157,0.011038961038961041,0.035894660894660896,0.05194805194805195
