experiment,codebleu,compiled_rows,compile_at_5,pass_at_1,pass_at_5,pass_at_10,tasks_with_pass_from_log,passing_candidates_from_log,new_tasks_vs_old_union_count,new_tasks_vs_old_union_indices
x86_g3_style_repair_ultralite,0.5299109182333337,26,0.1984126984126984,0.024025974025974037,0.09178519892805609,0.14285714285714285,22,37,2,"31,77"
x86_g3_binary_repair_ultralite,0.5341550702546543,20,0.16666666666666666,0.02402597402597403,0.08250876108018967,0.11038961038961038,17,37,1,56
x86_g3_rs_sft_withB_ref_ultralite,0.5173355293465973,28,0.2222222222222222,0.013636363636363634,0.05029890744176459,0.07792207792207792,12,21,0,
x86_g3_rs_sft_withB_ref_lite,0.5170481885601791,37,0.30158730158730157,0.011038961038961041,0.035894660894660896,0.05194805194805195,8,17,1,77
